Customer Key,First Name,Last Name,Full Name,Gender,Email Address,DateFP,Customer City
11000,Jon,Yang,Jon V Yang,Male,jon24@adventure-works.com,2018-01-19,Rockhampton
11001,Eugene,Huang,Eugene L Huang,Male,eugene10@adventure-works.com,2018-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,Male,ruben35@adventure-works.com,2018-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,Female,christy12@adventure-works.com,2017-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,elizabeth5@adventure-works.com,2018-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,Male,julio1@adventure-works.com,2017-12-30,East Brisbane
11006,Janet,Alvarez,Janet G Alvarez,Female,janet9@adventure-works.com,2018-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,Male,marco14@adventure-works.com,2018-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,Female,rob4@adventure-works.com,2018-01-25,Bendigo
11009,Shannon,Carlson,Shannon C Carlson,Male,shannon38@adventure-works.com,2018-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn C Suarez,Female,jacquelyn20@adventure-works.com,2018-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,Male,curtis9@adventure-works.com,2017-12-30,East Brisbane
11012,Lauren,Walker,Lauren M Walker,Female,lauren41@adventure-works.com,2020-03-16,Bremerton
11013,Ian,Jenkins,Ian M Jenkins,Male,ian47@adventure-works.com,2020-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,Female,sydney23@adventure-works.com,2020-03-23,Redmond
11015,Chloe,Young,Chloe Young,Female,chloe23@adventure-works.com,2020-01-18,Burbank
11016,Wyatt,Hill,Wyatt L Hill,Male,wyatt32@adventure-works.com,2020-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,Female,shannon1@adventure-works.com,2018-01-12,Sunbury
11018,Clarence,Rai,Clarence D Rai,Male,clarence32@adventure-works.com,2018-01-17,Bendigo
